region_name,longitude,latitude,time_period,mmm,prob_dhw_4,prob_dhw_8,no_dhw_days_4,no_dhw_days_8,seas_sst_var,int_sst_var,trend_ann_sst,p_value
Polynesia,-124.79,-24.67,1985-2019,26.6164285813138,0.03,0,66,0,1.646,0.246,0.003,0.698
Polynesia,-124.78,-24.67,1985-2019,26.6120365961506,0.03,0,65,0,1.645,0.246,0.003,0.696
Polynesia,-124.77,-24.67,1985-2019,26.6133008048769,0.03,0,65,0,1.644,0.246,0.003,0.695
Polynesia,-128.3,-24.43,1985-2019,26.8975692090533,0,0,0,0,1.619,0.243,-0,0.98
Polynesia,-128.29,-24.43,1985-2019,26.9037066034907,0,0,0,0,1.62,0.243,-0,0.985
Polynesia,-128.32,-24.42,1985-2019,26.8890221997784,0,0,0,0,1.617,0.242,-0,0.972
Polynesia,-128.31,-24.42,1985-2019,26.8931656871515,0,0,0,0,1.617,0.242,-0,0.977
Polynesia,-128.3,-24.42,1985-2019,26.8983095640977,0,0,0,0,1.618,0.242,-0,0.983
Polynesia,-128.29,-24.42,1985-2019,26.9045479705855,0,0,0,0,1.619,0.242,-0,0.988
Polynesia,-128.34,-24.41,1985-2019,26.8909898454544,0,0,0,0,1.617,0.243,-0,0.967
Polynesia,-128.33,-24.41,1985-2019,26.8915018507486,0,0,0,0,1.616,0.242,-0,0.97
Polynesia,-128.32,-24.41,1985-2019,26.8938886790314,0,0,0,0,1.616,0.242,-0,0.974
Polynesia,-128.31,-24.41,1985-2019,26.8970261871268,0,0,0,0,1.617,0.242,-0,0.98
Polynesia,-128.29,-24.41,1985-2019,26.9074858510364,0,0,0,0,1.618,0.242,-0,0.989
Polynesia,-128.35,-24.4,1985-2019,26.8982735943694,0,0,0,0,1.617,0.243,-0,0.967
Polynesia,-128.34,-24.4,1985-2019,26.896796261579,0,0,0,0,1.616,0.243,-0,0.969
Polynesia,-128.29,-24.4,1985-2019,26.9095492751099,0,0,0,0,1.618,0.242,-0,0.99
Polynesia,-128.35,-24.39,1985-2019,26.904045564261,0,0,0,0,1.616,0.243,-0,0.971
Polynesia,-128.34,-24.39,1985-2019,26.9025562792936,0,0,0,0,1.616,0.243,-0,0.974
Polynesia,-128.29,-24.39,1985-2019,26.913772478183,0,0,0,0,1.617,0.242,-0,0.99
Polynesia,-128.36,-24.38,1985-2019,26.9121841680086,0,0,0,0,1.616,0.244,-0,0.974
Polynesia,-128.35,-24.38,1985-2019,26.9097722998199,0,0,0,0,1.615,0.243,-0,0.975
Polynesia,-128.3,-24.38,1985-2019,26.9142627770362,0,0,0,0,1.616,0.242,-0,0.986
Polynesia,-128.29,-24.38,1985-2019,26.9166856961289,0,0,0,0,1.617,0.242,-0,0.991
Polynesia,-128.36,-24.37,1985-2019,26.917976992482,0,0,0,0,1.615,0.244,-0,0.977
Polynesia,-128.3,-24.37,1985-2019,26.9184026668644,0,0,0,0,1.616,0.242,-0,0.988
Polynesia,-128.36,-24.36,1985-2019,26.9215776940675,0,0,0,0,1.615,0.244,-0,0.982
Polynesia,-128.35,-24.36,1985-2019,26.9191467367251,0,0,0,0,1.615,0.244,-0,0.983
Polynesia,-128.3,-24.36,1985-2019,26.9239058649681,0,0,0,0,1.615,0.243,-0,0.991
Polynesia,-128.36,-24.35,1985-2019,26.9264390753659,0,0,0,0,1.615,0.244,-0,0.986
Polynesia,-128.35,-24.35,1985-2019,26.9251303126428,0,0,0,0,1.615,0.244,-0,0.987
Polynesia,-128.31,-24.35,1985-2019,26.9277993155155,0,0,0,0,1.615,0.243,-0,0.992
Polynesia,-128.3,-24.35,1985-2019,26.9294138795478,0,0,0,0,1.615,0.243,-0,0.993
