"year","area","site","spec"
"2016",207.96,"E2B","Pocillopora"
"2018",329.11,"E2B","Pocillopora"
"2020",230.39,"E2B","Pocillopora"
"2016",51.73,"E2B","Pocillopora"
"2018",38.38,"E2B","Pocillopora"
"2016",56.02,"E2B","Pocillopora"
"2018",113.83,"E2B","Pocillopora"
"2020",307.9,"E2B","Pocillopora"
"2022",44.6,"E2B","Pocillopora"
"2016",75.41,"E2B","Pocillopora"
"2018",170.35,"E2B","Pocillopora"
"2020",10.72,"E2B","Pocillopora"
"2022",2.12,"E2B","Pocillopora"
"2016",81.28,"E2B","Pocillopora"
"2018",124.86,"E2B","Pocillopora"
"2020",125.44,"E2B","Pocillopora"
"2016",25.5,"E2B","Pocillopora"
"2018",13.29,"E2B","Pocillopora"
"2016",58.59,"E2B","Pocillopora"
"2018",60.13,"E2B","Pocillopora"
"2020",52,"E2B","Pocillopora"
"2022",18.46,"E2B","Pocillopora"
"2016",50.84,"E2B","Pocillopora"
"2018",139.16,"E2B","Pocillopora"
"2020",43.21,"E2B","Pocillopora"
"2016",47.4,"E2B","Pocillopora"
"2018",49.64,"E2B","Pocillopora"
"2016",32.95,"E2B","Pocillopora"
"2018",61.48,"E2B","Pocillopora"
"2020",85.18,"E2B","Pocillopora"
"2016",168.17,"E2B","Pocillopora"
"2018",247.93,"E2B","Pocillopora"
"2020",122.46,"E2B","Pocillopora"
"2016",143.29,"E2B","Pocillopora"
"2018",333.14,"E2B","Pocillopora"
"2020",42,"E2B","Pocillopora"
"2022",6.65,"E2B","Pocillopora"
"2016",57.52,"E2B","Pocillopora"
"2018",45.65,"E2B","Pocillopora"
"2016",113.79,"E2B","Pocillopora"
"2018",29.6,"E2B","Pocillopora"
"2016",164.46,"E2B","Pocillopora"
"2018",215.62,"E2B","Pocillopora"
"2020",188.12,"E2B","Pocillopora"
"2022",99.71,"E2B","Pocillopora"
"2016",17.72,"E2B","Pocillopora"
"2018",24.46,"E2B","Pocillopora"
"2020",38.33,"E2B","Pocillopora"
"2016",108.01,"E2B","Pocillopora"
"2018",167.94,"E2B","Pocillopora"
"2020",114.72,"E2B","Pocillopora"
"2016",10.95,"E2B","Pocillopora"
"2016",45.78,"E2B","Pocillopora"
"2018",59.55,"E2B","Pocillopora"
"2016",5.5,"E2B","Pocillopora"
"2016",38.55,"E2B","Pocillopora"
