"site","quadrat","ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","dia","comparison"
"E2B","12","4","Pocillopora","4  ",77.94,"Pocillopora","3  ",164.68,"survived",1.11290736463947,9.96174131950125,"2016_2018"
"E2B","12","5","Pocillopora","5  ",23.91,NA,"",0,"died",NA,5.51753183177204,"2016_2018"
"E2B","12","6","Pocillopora","6  ",37.49,"Pocillopora","4  ",29.16,"survived",-0.222192584689251,6.90896161026541,"2016_2018"
"E2B","12","7","Pocillopora","7  47  48  ",330.99,"Pocillopora","5  ",803.83,"survived",1.42856279645911,20.5287495213881,"2016_2018"
"E2B","12","8","Pocillopora","8  ",149.89,"Pocillopora","12  ",139.59,"survived",-0.0687170591767295,13.8146978019917,"2016_2018"
"E2B","12","9","Pocillopora","9  ",61.02,"Pocillopora","13  ",115.37,"survived",0.890691576532284,8.81436764718489,"2016_2018"
"E2B","12","10","Pocillopora","10  ",45.91,"Pocillopora","14  ",22.35,"survived",-0.513177956872141,7.64554952235556,"2016_2018"
"E2B","12","11","Pocillopora","12  ",56.62,"Pocillopora","6  ",90.57,"survived",0.59961144471918,8.49063148552008,"2016_2018"
"E2B","12","12","Pocillopora","13  ",163.57,"Pocillopora","7  ",188.72,"survived",0.153756801369444,14.4313475577415,"2016_2018"
"E2B","12","13","Pocillopora","14  15  ",212.56,"Pocillopora","8  ",197,"survived",-0.073202860368837,16.451133627471,"2016_2018"
"E2B","12","14","Pocillopora","16  17  ",353.53,"Pocillopora","10  36  9  ",192.49,"survived",-0.455520040732045,21.2162290770585,"2016_2018"
"E2B","12","15","Pocillopora","18  ",35.47,NA,"",0,"died",NA,6.72025346633267,"2016_2018"
"E2B","12","16","Pocillopora","19  ",12.44,NA,"",0,"died",NA,3.97983667208912,"2016_2018"
"E2B","12","17","Pocillopora","20  ",48.92,NA,"",0,"died",NA,7.89220365477502,"2016_2018"
"E2B","12","18","Pocillopora","21  ",13.57,NA,"",0,"died",NA,4.15666460302683,"2016_2018"
"E2B","12","19","Pocillopora","22  ",41.87,"Pocillopora","27  ",72.93,"survived",0.741819918796274,7.30140669584028,"2016_2018"
"E2B","12","20","Pocillopora","23  25  28  ",35.63,"Pocillopora","11  ",107.81,"survived",2.02582093741229,6.73539345390556,"2016_2018"
"E2B","12","21","Pocillopora","24  ",105.96,"Pocillopora","26  ",207.73,"survived",0.96045677614194,11.6151823989181,"2016_2018"
"E2B","12","22","Pocillopora","26  ",72.89,NA,"",0,"died",NA,9.633609417853,"2016_2018"
"E2B","12","23","Acropora","27  ",92.22,NA,"",0,"died",NA,10.8359656152775,"2016_2018"
"E2B","12","24","Pocillopora","30  ",13,"Pocillopora","20  ",11.83,"survived",-0.09,4.06842894512822,"2016_2018"
"E2B","12","25","Pocillopora","31  ",76.85,"Pocillopora","16  ",84.41,"survived",0.098373454782043,9.89183799972974,"2016_2018"
"E2B","12","26","Pocillopora","32  ",37.29,NA,"",0,"died",NA,6.89050815420563,"2016_2018"
"E2B","12","27","Pocillopora","33  ",38.74,"Pocillopora","19  ",21.22,"survived",-0.452245740836345,7.02319727496247,"2016_2018"
"E2B","12","28","Pocillopora","34  ",34.31,"Pocillopora","23  ",65.13,"survived",0.898280384727484,6.60945147344796,"2016_2018"
"E2B","12","29","Pocillopora","35  36  37  ",67.4,"Pocillopora","24  ",93.36,"survived",0.385163204747774,9.26371120637674,"2016_2018"
"E2B","12","30","Acropora","38  ",124.56,"Acropora","28  ",212.13,"survived",0.703034682080925,12.593439470304,"2016_2018"
"E2B","12","31","Pocillopora","39  ",15.02,"Pocillopora","21  ",84.67,"survived",4.63715046604527,4.37310621434263,"2016_2018"
"E2B","12","32","Pocillopora","40  ",66.24,"Pocillopora","34  35  ",145.26,"survived",1.1929347826087,9.18364782879097,"2016_2018"
"E2B","12","33","Pocillopora","41  ",268.03,"Pocillopora","33  ",452.21,"survived",0.687161884863635,18.4733969582036,"2016_2018"
"E2B","12","34","Acropora","46  ",1.51,"Acropora","2  ",20.11,"survived",12.317880794702,1.38657553438321,"2016_2018"
"E2B","12","35","Pocillopora","49  ",55.89,"Pocillopora","29  ",56.64,"survived",0.013419216317767,8.43571918423369,"2016_2018"
"E2B","12","36","Acropora","50  ",25.47,"Acropora","30  ",121.91,"survived",3.78641539065567,5.69468271323386,"2016_2018"
