"site","quadrat","ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","dia","comparison"
"HAA","07","14","Pocillopora","18  ",67.84,"Pocillopora","4",229.57,"survived",2.38399174528302,9.29389965056829,"2016_2018"
"HAA","07","15","Pocillopora","19  ",12.36,"Pocillopora","13",45.49,"survived",2.68042071197411,3.96701912938753,"2016_2018"
"HAA","07","16","Acropora","20  ",20.44,"Acropora","14",107.41,"survived",4.25489236790607,5.10147197330209,"2016_2018"
"HAA","07","17","Pocillopora","21  ",16.44,"Pocillopora","15",35.6,"survived",1.1654501216545,4.57515662195799,"2016_2018"
"HAA","07","18","Pocillopora","22  ",2.29,NA,NA,0,"died",NA,1.70754752714047,"2016_2018"
"HAA","07","19","Pocillopora","23  ",3.93,"Pocillopora","5",29.83,"survived",6.59033078880407,2.23692454294042,"2016_2018"
"HAA","07","20","Pocillopora","24  ",3.7,NA,NA,0,"died",NA,2.1704806646271,"2016_2018"
"HAA","07","21","Pocillopora","25  ",35.93,"Pocillopora","16",22.93,"survived",-0.361814639576955,6.76368958796413,"2016_2018"
"HAA","07","22","Pocillopora","26  ",11.75,NA,NA,0,"died",NA,3.86788891394752,"2016_2018"
"HAA","07","23","Pocillopora","27  ",2.58,NA,NA,0,"died",NA,1.81244531653143,"2016_2018"
"HAA","08","0","Pocillopora","0",146.43,"Pocillopora","4  5  ",313.12,"survived",1.13835962575975,13.654320434777,"2016_2018"
"HAA","08","1","Pocillopora","1",8.64,NA,"",0,"died",NA,3.31674383492482,"2016_2018"
"HAA","08","2","Pocillopora","2",73.34,"Pocillopora","2  ",154.54,"survived",1.10717207526588,9.66330110318813,"2016_2018"
"HAA","08","3","Pocillopora","3",146.5,"Pocillopora","11  ",193.46,"survived",0.320546075085324,13.6575837285993,"2016_2018"
"HAA","08","4","Pocillopora","4",81.66,"Pocillopora","6  ",173.47,"survived",1.1242958608866,10.1967024681057,"2016_2018"
"HAA","08","5","Pocillopora","5",19.2,"Pocillopora","10  ",155.83,"survived",7.11614583333334,4.94430978589683,"2016_2018"
"HAA","08","6","Pocillopora","6",4.09,NA,"",0,"died",NA,2.28200563933721,"2016_2018"
"HAA","08","7","Pocillopora","7",61.61,"Pocillopora","8  ",170.26,"survived",1.76351241681545,8.85687802507934,"2016_2018"
"HAA","08","8","Pocillopora","9",2.84,NA,"",0,"died",NA,1.90157837257576,"2016_2018"
"HAA","08","9","Pocillopora","10",2.14,NA,"",0,"died",NA,1.65067641460501,"2016_2018"
"HAA","08","10","Pocillopora","11",1.29,NA,"",0,"died",NA,1.28159237384917,"2016_2018"
"HAA","08","11","Pocillopora","12",0.76,NA,"",0,"died",NA,0.983698151873187,"2016_2018"
"HAA","08","12","Pocillopora","13",3.57,NA,"",0,"died",NA,2.13200965633473,"2016_2018"
"HAA","08","13","Acropora","14",75.6,"Acropora","14  ",216.11,"survived",1.85859788359788,9.81106057375951,"2016_2018"
"HAA","08","14","Pocillopora","15",22.35,"Pocillopora","13  ",76.74,"survived",2.43355704697987,5.33450127236191,"2016_2018"
"HAA","08","15","Pocillopora","16",26.27,"Pocillopora","19  ",83.23,"survived",2.16825275980206,5.78342483656464,"2016_2018"
"HAA","08","16","Pocillopora","17",17.3,"Pocillopora","18  ",101.32,"survived",4.85664739884393,4.69329778768813,"2016_2018"
"HAA","08","17","Pocillopora","18",8.02,"Pocillopora","17  ",17.86,"survived",1.22693266832918,3.1955251757381,"2016_2018"
"HAA","08","18","Pocillopora","20",166.27,"Pocillopora","23  ",272.99,"survived",0.64184759728153,14.549966979451,"2016_2018"
"HAA","08","19","Pocillopora","21",97.43,"Pocillopora","26  ",67.02,"survived",-0.312121523144822,11.1378511771143,"2016_2018"
"HAA","08","20","Pocillopora","22",120.74,"Pocillopora","22  ",149.56,"survived",0.238694715918503,12.3988282765479,"2016_2018"
"HAA","08","21","Pocillopora","23",34.22,NA,"",0,"died",NA,6.60077701644566,"2016_2018"
"HAA","08","22","Pocillopora","24",85.28,"Pocillopora","21  ",103.31,"survived",0.211421200750469,10.4202623947295,"2016_2018"
"HAA","08","23","Pocillopora","25",246.44,"Pocillopora","20  ",558.22,"survived",1.26513552994644,17.7137560501587,"2016_2018"
"HAA","08","24","Pocillopora","26",3.11,NA,"",0,"died",NA,1.98991833604456,"2016_2018"
"HAA","08","25","Pocillopora","27",11.68,NA,"",0,"died",NA,3.85635033192093,"2016_2018"
"HAA","08","26","Pocillopora","28",81.81,NA,"",0,"died",NA,10.2060632544965,"2016_2018"
"HAA","08","27","Pocillopora","29",178.64,"Pocillopora","25  ",185.76,"survived",0.0398566950291089,15.0814956907957,"2016_2018"
"HAA","08","28","Pocillopora","30",2.9,"Pocillopora","7  ",37.69,"survived",11.9965517241379,1.92156048037317,"2016_2018"
"HAA","08","29","Pocillopora","31",4.31,"Pocillopora","24  ",41.65,"survived",8.66357308584687,2.34257602604666,"2016_2018"
"HAA","09","0","Pocillopora","0  ",32.64,"Pocillopora","1",53.83,"survived",0.649203431372549,6.44659124965712,"2016_2018"
"HAA","09","1","Pocillopora","2  4  ",465.55,"Pocillopora","7",1060.05,"survived",1.2769842122221,24.3465946294642,"2016_2018"
"HAA","09","2","Pocillopora","3  5  ",220.51,"Pocillopora","5",651.7,"survived",1.95542152283343,16.7559557175815,"2016_2018"
"HAA","09","3","Pocillopora","6  ",9.64,NA,NA,0,"died",NA,3.50343106272222,"2016_2018"
"HAA","09","4","Pocillopora","7  ",21.78,"Pocillopora","13",88.02,"survived",3.04132231404959,5.26603810129891,"2016_2018"
"HAA","09","5","Pocillopora","8  ",4.65,NA,NA,0,"died",NA,2.43322088660658,"2016_2018"
"HAA","09","6","Pocillopora","9  ",31.11,"Pocillopora","19",89.18,"survived",1.86660237865638,6.29368590229215,"2016_2018"
"HAA","09","7","Acropora","10  ",6.32,"Acropora","11",50.52,"survived",6.99367088607595,2.83670123959613,"2016_2018"
"HAA","09","8","Pocillopora","11  ",6.71,NA,NA,0,"died",NA,2.9229158977249,"2016_2018"
"HAA","09","9","Pocillopora","12  ",96.65,"Pocillopora","10",153.72,"survived",0.59048111743404,11.0931781739344,"2016_2018"
"HAA","09","10","Pocillopora","13  ",137.94,"Pocillopora","12",261.44,"survived",0.895316804407714,13.2525719315448,"2016_2018"
"HAA","09","11","Pocillopora","14  ",80.76,"Pocillopora","6",142.49,"survived",0.764363546310054,10.1403562872718,"2016_2018"
"HAA","09","12","Pocillopora","15  ",4.85,NA,NA,0,"died",NA,2.48499734244637,"2016_2018"
"HAA","09","13","Pocillopora","16  ",48.71,NA,NA,0,"died",NA,7.87524591514765,"2016_2018"
"HAA","09","14","Pocillopora","17  ",21.83,NA,NA,0,"died",NA,5.27207921616971,"2016_2018"
"HAA","09","15","Pocillopora","18  ",29.99,"Pocillopora","8",211.57,"survived",6.05468489496499,6.17935708197928,"2016_2018"
"HAA","09","16","Pocillopora","20  ",19.32,NA,NA,0,"died",NA,4.95973668699089,"2016_2018"
"HAA","09","17","Pocillopora","21  ",32.55,NA,NA,0,"died",NA,6.4376973508491,"2016_2018"
"HAA","09","18","Pocillopora","22  ",24.05,"Pocillopora","16",80.02,"survived",2.32723492723493,5.53366163140471,"2016_2018"
"HAA","09","19","Pocillopora","23  ",13.72,NA,NA,0,"died",NA,4.17957492500929,"2016_2018"
"HAA","09","20","Pocillopora","24  ",7.16,"Pocillopora","21",58.67,"survived",7.19413407821229,3.01933687095424,"2016_2018"
"HAA","09","21","Pocillopora","25  ",27.5,NA,NA,0,"died",NA,5.9172702727032,"2016_2018"
"HAA","09","22","Pocillopora","26  ",124,"Pocillopora","17",224.28,"survived",0.808709677419355,12.5650986286284,"2016_2018"
"HAA","09","23","Pocillopora","27  ",3.89,"Pocillopora","22",21.83,"survived",4.61182519280206,2.22551158815671,"2016_2018"
"HAA","09","24","Pocillopora","28  ",3.8,NA,NA,0,"died",NA,2.19961593692936,"2016_2018"
"HAA","09","25","Pocillopora","29  ",2.58,NA,NA,0,"died",NA,1.81244531653143,"2016_2018"
