"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"HAA_05_8","Acropora","8",22.97,"Acropora","10",146.3,"grew",5.36917718763605,"2016_2018","HAA"
"HAA_05_9","Pocillopora","9",9.98,"Pocillopora","13",84.96,"grew",7.51302605210421,"2016_2018","HAA"
"HAA_05_10","Pocillopora","10",289.35,"Pocillopora","14",659.45,"grew",1.27907378607223,"2016_2018","HAA"
"HAA_05_11","Pocillopora","11",92.05,"Pocillopora","11",160.71,"grew",0.7458989679522,"2016_2018","HAA"
"HAA_05_12","Pocillopora","12",1.51,"Pocillopora","2",11.85,"grew",6.8476821192053,"2016_2018","HAA"
"HAA_05_13","Pocillopora",NA,7.72,"Pocillopora","0",7.72,"born",NA,"2016_2018","HAA"
"HAA_05_14","Pocillopora",NA,6.65,"Pocillopora","1",6.65,"born",NA,"2016_2018","HAA"
"HAA_05_15","Pocillopora",NA,5.06,"Pocillopora","9",5.06,"born",NA,"2016_2018","HAA"
"HAA_05_16","Pocillopora",NA,9.57,"Pocillopora","12",9.57,"born",NA,"2016_2018","HAA"
"HAA_06_0","Pocillopora","0  ",7.86,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_1","Pocillopora","1  ",46.98,"Pocillopora","2  ",21.85,"shrunk",-0.534908471690081,"2016_2018","HAA"
"HAA_06_2","Pocillopora","2  ",3.77,"Pocillopora","1  ",16.23,"grew",3.30503978779841,"2016_2018","HAA"
"HAA_06_3","Pocillopora","3  ",1.78,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_4","Pocillopora","4  ",114.14,"Pocillopora","5  ",185.11,"grew",0.621780269844051,"2016_2018","HAA"
"HAA_06_5","Pocillopora","5  ",7.69,"Pocillopora","6  ",86.94,"grew",10.3055916775032,"2016_2018","HAA"
"HAA_06_6","Pocillopora","6  ",41.17,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_7","Pocillopora","7  ",207.69,"Pocillopora","8  ",534.81,"grew",1.57503972266358,"2016_2018","HAA"
"HAA_06_8","Pocillopora","8  ",25.37,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_9","Pocillopora","9  ",123.12,"Pocillopora","11  ",224.71,"grew",0.825129954515919,"2016_2018","HAA"
"HAA_06_10","Pocillopora","10  ",42.85,"Pocillopora","12  ",223.71,"grew",4.22077012835473,"2016_2018","HAA"
"HAA_06_11","Pocillopora","11  ",1.37,"Pocillopora","7  ",13.91,"grew",9.15328467153284,"2016_2018","HAA"
"HAA_06_12","Pocillopora","12  ",179.84,"Pocillopora","14  15  ",201.3,"grew",0.119328291814947,"2016_2018","HAA"
"HAA_06_13","Pocillopora","13  ",1.58,"Pocillopora","13  ",7.95,"grew",4.03164556962025,"2016_2018","HAA"
"HAA_06_14","Pocillopora","14  ",19.12,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_15","Pocillopora","15  ",12.61,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_16","Pocillopora","16  ",23.35,"Pocillopora","10  ",147.18,"grew",5.30321199143469,"2016_2018","HAA"
"HAA_06_17","Pocillopora","17  ",20.26,"Pocillopora","20  ",26.65,"grew",0.315399802566634,"2016_2018","HAA"
"HAA_06_18","Pocillopora","18  21  ",95.33,"Pocillopora","18  ",137.23,"grew",0.439525857547467,"2016_2018","HAA"
"HAA_06_19","Pocillopora","19  ",5.13,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_20","Pocillopora","20  ",82.28,"Pocillopora","17  ",900.18,"grew",9.94044725328148,"2016_2018","HAA"
"HAA_06_21","Pocillopora","22  ",61.69,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_22","Pocillopora","23  ",132.71,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_06_23","Pocillopora","",13.64,"Pocillopora","3  ",13.64,"born",NA,"2016_2018","HAA"
"HAA_06_24","Pocillopora","",4,"Pocillopora","4  ",4,"born",NA,"2016_2018","HAA"
"HAA_06_25","Acropora","",2.31,"Acropora","19  ",2.31,"born",NA,"2016_2018","HAA"
"HAA_07_0","Pocillopora","0  16  ",347.36,"Pocillopora","0",1028.33,"grew",1.96041570704744,"2016_2018","HAA"
"HAA_07_1","Pocillopora","2  ",247.39,"Pocillopora","3",363.2,"grew",0.468127248474069,"2016_2018","HAA"
"HAA_07_2","Pocillopora","3  ",46.48,"Pocillopora","1",140.34,"grew",2.01936316695353,"2016_2018","HAA"
"HAA_07_3","Pocillopora","4  ",58.23,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_4","Pocillopora","5  28  ",13.48,"Pocillopora","9",93.8,"grew",5.95845697329377,"2016_2018","HAA"
"HAA_07_5","Pocillopora","6  ",40.37,"Pocillopora","8",33.72,"shrunk",-0.164726281892494,"2016_2018","HAA"
"HAA_07_6","Pocillopora","7  ",9.1,"Pocillopora","10",98.74,"grew",9.85054945054945,"2016_2018","HAA"
"HAA_07_7","Pocillopora","9  ",27.28,"Pocillopora","11",87.63,"grew",2.21224340175953,"2016_2018","HAA"
"HAA_07_8","Pocillopora","11  ",12.42,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_9","Pocillopora","12  ",5.4,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_10","Pocillopora","13  ",4.51,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_11","Pocillopora","14  ",15.04,"Pocillopora","6",65.71,"grew",3.36901595744681,"2016_2018","HAA"
"HAA_07_12","Pocillopora","15  ",6.67,"Pocillopora","7",60.92,"grew",8.13343328335832,"2016_2018","HAA"
"HAA_07_13","Pocillopora","17  ",4.87,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_14","Pocillopora","18  ",67.84,"Pocillopora","4",229.57,"grew",2.38399174528302,"2016_2018","HAA"
"HAA_07_15","Pocillopora","19  ",12.36,"Pocillopora","13",45.49,"grew",2.68042071197411,"2016_2018","HAA"
"HAA_07_16","Acropora","20  ",20.44,"Acropora","14",107.41,"grew",4.25489236790607,"2016_2018","HAA"
"HAA_07_17","Pocillopora","21  ",16.44,"Pocillopora","15",35.6,"grew",1.1654501216545,"2016_2018","HAA"
"HAA_07_18","Pocillopora","22  ",2.29,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_19","Pocillopora","23  ",3.93,"Pocillopora","5",29.83,"grew",6.59033078880407,"2016_2018","HAA"
"HAA_07_20","Pocillopora","24  ",3.7,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_21","Pocillopora","25  ",35.93,"Pocillopora","16",22.93,"shrunk",-0.361814639576955,"2016_2018","HAA"
"HAA_07_22","Pocillopora","26  ",11.75,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_23","Pocillopora","27  ",2.58,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_07_24","Pocillopora","",7.06,"Pocillopora","12",7.06,"born",NA,"2016_2018","HAA"
"HAA_07_25","Pocillopora","",21.23,"Pocillopora","17",21.23,"born",NA,"2016_2018","HAA"
"HAA_07_26","Pocillopora","",12.46,"Pocillopora","18",12.46,"born",NA,"2016_2018","HAA"
"HAA_07_27","Pocillopora","",7.24,"Pocillopora","19",7.24,"born",NA,"2016_2018","HAA"
"HAA_08_0","Pocillopora","0",146.43,"Pocillopora","4  5  ",313.12,"grew",1.13835962575975,"2016_2018","HAA"
"HAA_08_1","Pocillopora","1",8.64,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_2","Pocillopora","2",73.34,"Pocillopora","2  ",154.54,"grew",1.10717207526588,"2016_2018","HAA"
"HAA_08_3","Pocillopora","3",146.5,"Pocillopora","11  ",193.46,"grew",0.320546075085324,"2016_2018","HAA"
"HAA_08_4","Pocillopora","4",81.66,"Pocillopora","6  ",173.47,"grew",1.1242958608866,"2016_2018","HAA"
"HAA_08_5","Pocillopora","5",19.2,"Pocillopora","10  ",155.83,"grew",7.11614583333334,"2016_2018","HAA"
"HAA_08_6","Pocillopora","6",4.09,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_7","Pocillopora","7",61.61,"Pocillopora","8  ",170.26,"grew",1.76351241681545,"2016_2018","HAA"
"HAA_08_8","Pocillopora","9",2.84,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_9","Pocillopora","10",2.14,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_10","Pocillopora","11",1.29,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_11","Pocillopora","12",0.76,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_12","Pocillopora","13",3.57,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_13","Acropora","14",75.6,"Acropora","14  ",216.11,"grew",1.85859788359788,"2016_2018","HAA"
"HAA_08_14","Pocillopora","15",22.35,"Pocillopora","13  ",76.74,"grew",2.43355704697987,"2016_2018","HAA"
"HAA_08_15","Pocillopora","16",26.27,"Pocillopora","19  ",83.23,"grew",2.16825275980206,"2016_2018","HAA"
"HAA_08_16","Pocillopora","17",17.3,"Pocillopora","18  ",101.32,"grew",4.85664739884393,"2016_2018","HAA"
"HAA_08_17","Pocillopora","18",8.02,"Pocillopora","17  ",17.86,"grew",1.22693266832918,"2016_2018","HAA"
"HAA_08_18","Pocillopora","20",166.27,"Pocillopora","23  ",272.99,"grew",0.64184759728153,"2016_2018","HAA"
"HAA_08_19","Pocillopora","21",97.43,"Pocillopora","26  ",67.02,"shrunk",-0.312121523144822,"2016_2018","HAA"
"HAA_08_20","Pocillopora","22",120.74,"Pocillopora","22  ",149.56,"grew",0.238694715918503,"2016_2018","HAA"
"HAA_08_21","Pocillopora","23",34.22,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_22","Pocillopora","24",85.28,"Pocillopora","21  ",103.31,"grew",0.211421200750469,"2016_2018","HAA"
"HAA_08_23","Pocillopora","25",246.44,"Pocillopora","20  ",558.22,"grew",1.26513552994644,"2016_2018","HAA"
"HAA_08_24","Pocillopora","26",3.11,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_25","Pocillopora","27",11.68,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_26","Pocillopora","28",81.81,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_08_27","Pocillopora","29",178.64,"Pocillopora","25  ",185.76,"no change",0.0398566950291089,"2016_2018","HAA"
