"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"E2B_11_32","Pocillopora","38  ",142.43,"Pocillopora","4  ",92.44,"shrunk",-0.350979428491189,"2016_2018","E2B"
"E2B_11_33","Pocillopora","39  ",119.17,"Pocillopora","5  ",309.4,"grew",1.5962910128388,"2016_2018","E2B"
"E2B_11_34","Pocillopora","40  ",42.37,"Pocillopora","26  ",49.61,"grew",0.170875619542129,"2016_2018","E2B"
"E2B_11_35","Pocillopora","41  ",29.1,"Pocillopora","6  ",70.48,"grew",1.42199312714777,"2016_2018","E2B"
"E2B_11_36","Pocillopora","42  ",40.4,"Pocillopora","11  ",83.99,"grew",1.0789603960396,"2016_2018","E2B"
"E2B_11_37","Pocillopora","43  ",271.48,"Pocillopora","21  28  ",427.19,"grew",0.573559746574333,"2016_2018","E2B"
"E2B_12_0","Pocillopora","0  ",42.56,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_1","Pocillopora","1  ",15.46,"Pocillopora","1  ",5.03,"shrunk",-0.674644243208279,"2016_2018","E2B"
"E2B_12_2","Pocillopora","2  ",9.49,"Pocillopora","0  ",23.27,"grew",1.45205479452055,"2016_2018","E2B"
"E2B_12_3","Pocillopora","3  29  ",113.41,"Pocillopora","15  ",221.2,"grew",0.950445287011727,"2016_2018","E2B"
"E2B_12_4","Pocillopora","4  ",77.94,"Pocillopora","3  ",164.68,"grew",1.11290736463947,"2016_2018","E2B"
"E2B_12_5","Pocillopora","5  ",23.91,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_6","Pocillopora","6  ",37.49,"Pocillopora","4  ",29.16,"shrunk",-0.222192584689251,"2016_2018","E2B"
"E2B_12_7","Pocillopora","7  47  48  ",330.99,"Pocillopora","5  ",803.83,"grew",1.42856279645911,"2016_2018","E2B"
"E2B_12_8","Pocillopora","8  ",149.89,"Pocillopora","12  ",139.59,"shrunk",-0.0687170591767295,"2016_2018","E2B"
"E2B_12_9","Pocillopora","9  ",61.02,"Pocillopora","13  ",115.37,"grew",0.890691576532284,"2016_2018","E2B"
"E2B_12_10","Pocillopora","10  ",45.91,"Pocillopora","14  ",22.35,"shrunk",-0.513177956872141,"2016_2018","E2B"
"E2B_12_11","Pocillopora","12  ",56.62,"Pocillopora","6  ",90.57,"grew",0.59961144471918,"2016_2018","E2B"
"E2B_12_12","Pocillopora","13  ",163.57,"Pocillopora","7  ",188.72,"grew",0.153756801369444,"2016_2018","E2B"
"E2B_12_13","Pocillopora","14  15  ",212.56,"Pocillopora","8  ",197,"shrunk",-0.073202860368837,"2016_2018","E2B"
"E2B_12_14","Pocillopora","16  17  ",353.53,"Pocillopora","10  36  9  ",192.49,"shrunk",-0.455520040732045,"2016_2018","E2B"
"E2B_12_15","Pocillopora","18  ",35.47,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_16","Pocillopora","19  ",12.44,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_17","Pocillopora","20  ",48.92,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_18","Pocillopora","21  ",13.57,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_19","Pocillopora","22  ",41.87,"Pocillopora","27  ",72.93,"grew",0.741819918796274,"2016_2018","E2B"
"E2B_12_20","Pocillopora","23  25  28  ",35.63,"Pocillopora","11  ",107.81,"grew",2.02582093741229,"2016_2018","E2B"
"E2B_12_21","Pocillopora","24  ",105.96,"Pocillopora","26  ",207.73,"grew",0.96045677614194,"2016_2018","E2B"
"E2B_12_22","Pocillopora","26  ",72.89,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_24","Pocillopora","30  ",13,"Pocillopora","20  ",11.83,"shrunk",-0.09,"2016_2018","E2B"
"E2B_12_25","Pocillopora","31  ",76.85,"Pocillopora","16  ",84.41,"grew",0.098373454782043,"2016_2018","E2B"
"E2B_12_26","Pocillopora","32  ",37.29,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_12_27","Pocillopora","33  ",38.74,"Pocillopora","19  ",21.22,"shrunk",-0.452245740836345,"2016_2018","E2B"
"E2B_12_28","Pocillopora","34  ",34.31,"Pocillopora","23  ",65.13,"grew",0.898280384727484,"2016_2018","E2B"
"E2B_12_29","Pocillopora","35  36  37  ",67.4,"Pocillopora","24  ",93.36,"grew",0.385163204747774,"2016_2018","E2B"
"E2B_12_31","Pocillopora","39  ",15.02,"Pocillopora","21  ",84.67,"grew",4.63715046604527,"2016_2018","E2B"
"E2B_12_32","Pocillopora","40  ",66.24,"Pocillopora","34  35  ",145.26,"grew",1.1929347826087,"2016_2018","E2B"
"E2B_12_33","Pocillopora","41  ",268.03,"Pocillopora","33  ",452.21,"grew",0.687161884863635,"2016_2018","E2B"
"E2B_12_35","Pocillopora","49  ",55.89,"Pocillopora","29  ",56.64,"no change",0.013419216317767,"2016_2018","E2B"
"E2B_12_37","Pocillopora","52  ",160.85,"Pocillopora","31  ",324.39,"grew",1.01672365557973,"2016_2018","E2B"
"E2B_12_43","Pocillopora","",15.72,"Pocillopora","37  ",15.72,"born",NA,"2016_2018","E2B"
"E2B_13_0","Pocillopora","2  ",210.09,"Pocillopora","31  ",57.63,"shrunk",-0.725688990432672,"2016_2018","E2B"
"E2B_13_1","Pocillopora","3  ",60.1,"Pocillopora","15  ",24.13,"shrunk",-0.598502495840266,"2016_2018","E2B"
"E2B_13_3","Pocillopora","5  ",15.24,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_13_4","Pocillopora","6  ",56.16,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_13_5","Pocillopora","7  ",90.37,"Pocillopora","0  ",83.31,"shrunk",-0.0781232709970123,"2016_2018","E2B"
"E2B_13_6","Pocillopora","9  ",35.98,"Pocillopora","16  ",123.37,"grew",2.42884936075598,"2016_2018","E2B"
"E2B_13_7","Pocillopora","10  ",24.18,"Pocillopora","18  ",69.22,"grew",1.8626964433416,"2016_2018","E2B"
"E2B_13_8","Pocillopora","11  ",270.85,"Pocillopora","14  ",356.03,"grew",0.314491415912867,"2016_2018","E2B"
"E2B_13_9","Pocillopora","12  ",60.52,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_13_10","Pocillopora","13  ",129.72,"Pocillopora","20  ",268.1,"grew",1.06675917360469,"2016_2018","E2B"
"E2B_13_11","Pocillopora","15  ",9.19,"Pocillopora","12  ",40.71,"grew",3.42981501632209,"2016_2018","E2B"
"E2B_13_12","Pocillopora","16  ",16.62,"Pocillopora","10  11  ",9.59,"shrunk",-0.422984356197353,"2016_2018","E2B"
"E2B_13_14","Pocillopora","18  ",4.81,"Pocillopora","9  ",26.29,"grew",4.46569646569647,"2016_2018","E2B"
"E2B_13_15","Pocillopora","19  ",112.23,"Pocillopora","13  ",330.43,"grew",1.94422168760581,"2016_2018","E2B"
"E2B_13_16","Pocillopora","20  ",179.44,"Pocillopora","22  23  ",191.13,"grew",0.0651471243869817,"2016_2018","E2B"
"E2B_13_17","Pocillopora","21  ",17.17,"Pocillopora","21  ",37.49,"grew",1.18345952242283,"2016_2018","E2B"
"E2B_13_18","Pocillopora","22  ",210.6,"Pocillopora","25  ",142.11,"shrunk",-0.325213675213675,"2016_2018","E2B"
"E2B_13_19","Pocillopora","23  ",398.15,"Pocillopora","27  ",612.32,"grew",0.537912846916991,"2016_2018","E2B"
"E2B_13_20","Pocillopora","24  ",103.12,"Pocillopora","29  ",297.69,"grew",1.88683087664856,"2016_2018","E2B"
"E2B_13_21","Pocillopora","25  ",57.93,"Pocillopora","28  ",91.88,"grew",0.586052131883307,"2016_2018","E2B"
"E2B_13_22","Pocillopora","26  ",21.96,"Pocillopora","30  ",77.15,"grew",2.5132058287796,"2016_2018","E2B"
"E2B_13_23","Pocillopora","28  ",13.51,"Pocillopora","37  ",26.36,"grew",0.951147298297557,"2016_2018","E2B"
"E2B_13_24","Pocillopora","31  ",21.99,"Pocillopora","35  ",37.65,"grew",0.712141882673943,"2016_2018","E2B"
"E2B_13_25","Pocillopora","32  ",16.53,"Pocillopora","34  ",90.54,"grew",4.47731397459165,"2016_2018","E2B"
"E2B_13_27","Pocillopora","34  ",71.72,"Pocillopora","6  ",131.23,"grew",0.829754601226994,"2016_2018","E2B"
"E2B_13_28","Pocillopora","35  ",1.94,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_13_29","Pocillopora","36  ",193.02,"Pocillopora","5  ",237.81,"grew",0.232048492384209,"2016_2018","E2B"
"E2B_13_30","Pocillopora","37  38  ",238.95,"Pocillopora","3  4  ",390.2,"grew",0.63297761037874,"2016_2018","E2B"
"E2B_13_31","Pocillopora","43  ",2.91,"Pocillopora","17  ",23.52,"grew",7.08247422680412,"2016_2018","E2B"
"E2B_13_32","Pocillopora","",2.44,"Pocillopora","1  ",2.44,"born",NA,"2016_2018","E2B"
"E2B_13_34","Pocillopora","",9.41,"Pocillopora","7  ",9.41,"born",NA,"2016_2018","E2B"
"E2B_13_35","Pocillopora","",122.34,"Pocillopora","19  ",122.34,"born",NA,"2016_2018","E2B"
"E2B_13_36","Pocillopora","",16.31,"Pocillopora","32  ",16.31,"born",NA,"2016_2018","E2B"
"E2B_13_38","Pocillopora","",5.82,"Pocillopora","36  ",5.82,"born",NA,"2016_2018","E2B"
"E2B_14_0","Pocillopora","0  1  ",187.23,"Pocillopora","2  ",322.46,"grew",0.72226673075896,"2016_2018","E2B"
"E2B_14_1","Pocillopora","2  ",266.79,"Pocillopora","37  ",363.67,"grew",0.363132051426215,"2016_2018","E2B"
"E2B_14_2","Pocillopora","3  ",20.31,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_14_3","Pocillopora","4  ",151.33,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_14_4","Pocillopora","5  ",25.57,"Pocillopora","6  ",23.66,"shrunk",-0.0746969104419241,"2016_2018","E2B"
"E2B_14_5","Pocillopora","6  ",52.43,"Pocillopora","3  ",111.36,"grew",1.12397482357429,"2016_2018","E2B"
"E2B_14_6","Pocillopora","7  ",41.02,"Pocillopora","1  ",56.26,"grew",0.371526084836665,"2016_2018","E2B"
"E2B_14_7","Pocillopora","8  ",39.44,"Pocillopora","4  ",44.74,"grew",0.134381338742394,"2016_2018","E2B"
"E2B_14_8","Pocillopora","9  ",7.63,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_14_9","Pocillopora","10  ",4.5,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_14_10","Pocillopora","11  ",109.46,"Pocillopora","7  ",230.49,"grew",1.10570071258907,"2016_2018","E2B"
"E2B_14_11","Pocillopora","12  ",42.09,"Pocillopora","11  ",95.33,"grew",1.26490852934189,"2016_2018","E2B"
"E2B_14_12","Pocillopora","13  ",42.07,"Pocillopora","8  ",44.55,"grew",0.0589493700974565,"2016_2018","E2B"
"E2B_14_13","Pocillopora","14  15  ",143.62,"Pocillopora","14  36  ",231.04,"grew",0.608689597549088,"2016_2018","E2B"
"E2B_14_14","Pocillopora","16  ",24.5,"Pocillopora","13  ",49.71,"grew",1.02897959183673,"2016_2018","E2B"
"E2B_14_15","Pocillopora","17  ",41.43,"Pocillopora","16  ",59.05,"grew",0.425295679459329,"2016_2018","E2B"
